1	-30	-26	-30	-16	-13	-17	
2	-27	-32	3	-23	-12	-22	
3	-17	6	5	8	-4	21	
4	-9	5	1	2	-15	4	
5	-22	6	-5	-14	-11	-8	
6	-32	-40	-16	-31	-12	-29	
7	12	-18	10	8	9	17	
8	5	18	0	14	12	11	
9	23	32	32	31	51	32	
10	-10	-9	-25	-5	-11	8	
11	-22	0	7	6	-10	5	
12	15	21	12	38	12	17	
13	-13	-8	-40	-18	-29	-32	
14	-4	9	0	3	-21	-9	
15	-30	-24	-23	-31	-31	-7	
16	7	-16	1	1	-12	-9	
17	-5	-9	-21	-12	5	-17	
18	7	-12	-15	8	-16	-29	
19	1	10	11	8	9	9	
20	6	-3	-3	19	9	7	
21	5	1	-17	-6	-1	-8	
22	-7	-11	12	7	2	0	
23	5	-2	-5	14	-24	-16	
24	-1	-7	0	4	-29	-3	
25	-19	-25	-18	-20	-3	-18	
26	-33	-3	-16	-8	1	-19	
27	-8	15	8	15	-10	-10	
28	-5	13	-4	-6	-6	-8	
29	-3	-2	2	-4	-24	2	
30	16	13	9	18	12	19	
31	-2	4	10	2	0	14	
32	0	-6	-9	0	-13	16	
33	-14	-1	-16	-22	-10	-8	
34	-2	-4	-7	-18	-8	-4	
35	11	17	15	21	24	23	
36	12	4	19	-4	-8	2	
37	4	6	10	3	-2	-18	
38	17	8	25	7	17	13	
39	-13	9	5	-1	5	10	
40	10	-20	11	8	9	25	
41	-15	-25	-9	-2	3	-3	
42	-11	-23	-18	-13	5	-18	
43	-7	-10	11	-19	9	-10	
44	-17	-4	-4	-5	-7	16	
45	-1	-15	-19	-18	-23	-1	
46	-24	3	-34	-13	-17	-8	
47	7	18	-1	11	34	23	
48	1	-3	1	-6	-12	-11	
49	25	9	13	26	7	9	
50	7	-6	-3	-4	21	0	
51	-24	-19	-7	-10	-18	-24	
52	19	13	40	4	21	25	
53	-5	8	25	9	-6	16	
54	24	14	11	11	9	15	
55	-32	-28	-18	-13	-16	-17	
56	0	-6	13	-7	-8	-2	
57	15	-12	-11	-2	0	-17	
58	15	7	-21	9	-8	-10	
59	-24	-2	9	1	10	-25	
60	22	8	5	23	19	21	
61	16	14	14	19	-9	19	
62	9	10	9	9	21	-9	
63	9	5	8	3	20	22	
64	-22	-1	12	-7	4	-12	
65	-3	-6	4	4	-9	6	
66	-7	-27	-13	-19	-20	-12	
67	-25	-24	-32	-17	-20	-11	
68	8	-14	-8	1	0	7	
69	8	-1	10	-2	15	-2	
70	-17	-35	-15	-16	-37	-19	
71	22	7	12	21	-1	11	
72	14	19	19	6	17	18	
73	-5	10	8	-7	-7	-1	
74	-24	2	-1	-4	-6	-5	
75	-2	-20	-10	-18	-33	-15	
76	-17	-23	-20	-16	-26	-36	
77	3	16	6	10	3	25	
78	-15	0	-9	1	-3	10	
79	-11	-24	-23	-17	-5	-7	
80	15	26	19	0	18	12	
81	-29	-11	5	3	-8	-8	
82	0	-10	-1	8	-4	-11	
83	39	30	29	24	15	7	
84	-1	-25	-12	-15	3	-30	
85	10	12	16	-9	10	7	
86	-2	-14	-3	-8	-26	-5	
87	-6	-24	-8	-20	-6	-36	
88	-18	5	-22	-1	-12	-12	
89	-11	2	-6	12	6	8	
90	-8	-17	6	-10	-4	-2	
91	2	-2	-1	12	-9	-11	
92	24	13	-4	7	35	17	
93	7	25	12	1	22	12	
94	10	7	24	12	25	-8	
95	9	-9	2	-6	24	8	
96	14	9	15	11	15	-2	
97	-14	-8	4	-11	-13	-22	
98	22	21	25	8	4	22	
99	11	3	8	4	11	24	
100	-18	-16	-10	2	6	-10	
101	-11	1	-6	-8	-12	-33	
102	-16	13	-11	9	0	9	
103	23	-5	-2	-1	-19	-10	
104	4	-4	0	-21	-21	-10	
105	-3	10	7	-6	24	31	
106	-26	-4	-12	-27	-14	-7	
107	19	6	-1	23	-21	13	
108	11	11	10	12	-9	7	
109	-1	-21	-18	20	-20	-14	
110	-2	2	-14	-6	15	7	
111	-4	19	9	4	-4	14	
112	3	-6	1	18	11	11	
113	-9	-11	-11	5	12	-3	
114	-33	-29	-19	-28	-20	-29	
115	-11	-14	-14	-17	-4	-12	
116	8	-9	23	17	5	14	
117	-19	-9	-20	-8	4	1	
118	7	17	9	33	17	0	
119	18	31	22	16	22	25	
120	5	14	-3	8	-6	-7	
121	0	12	23	10	4	-10	
122	1	12	14	4	12	16	
123	16	32	46	22	35	27	
124	1	-16	-26	-13	-18	-17	
125	22	3	12	11	3	-3	
126	19	29	11	4	19	6	
127	-26	10	10	2	-7	-14	
128	10	1	9	-2	-9	14	
129	18	4	10	7	37	13	
130	-14	-2	3	-8	12	8	
131	-5	0	9	-8	7	-9	
132	-7	1	-3	5	1	14	
133	25	-5	-11	-7	12	8	
134	-31	-28	-30	-37	-20	-14	
135	-3	17	7	-9	-14	-1	
136	-7	1	6	-4	-21	6	
137	1	4	-8	-6	-6	-20	
138	-13	-7	4	-2	-10	-7	
139	-18	-1	2	0	-3	-6	
140	-5	14	5	6	6	-2	
141	-3	-13	-10	10	-25	-1	
142	5	1	10	19	4	3	
143	15	-12	10	6	19	37	
144	-5	-9	11	-13	-15	-5	
145	9	2	19	11	-5	23	
146	-11	-21	11	-16	-13	-7	
147	-9	-7	-21	-9	-7	-15	
148	-15	-16	-22	-4	4	-13	
149	-9	0	-8	-14	-10	-5	
150	9	6	9	-13	-23	-16	
151	-8	-10	-16	-29	-5	-27	
152	28	18	36	9	30	8	
153	16	13	11	0	4	21	
154	11	10	8	35	11	6	
155	-3	-20	-9	-23	2	-22	
156	15	8	18	13	9	20	
157	6	-16	9	1	-2	14	
158	-7	6	6	-6	2	8	
159	9	0	18	17	16	2	
160	22	8	16	13	17	14	
161	6	15	15	22	14	14	
162	2	-3	1	11	-6	-6	
163	16	16	17	14	-1	26	
164	2	-2	1	0	11	7	
165	-1	20	15	-6	4	7	
166	-25	-19	-16	-14	-31	-7	
167	8	18	-3	-6	2	-6	
168	10	1	0	19	3	21	
169	1	-11	4	-31	1	-4	
170	-19	2	0	-9	-24	-5	
171	-4	-11	-10	-2	-4	-3	
172	5	8	9	23	27	12	
173	9	-7	4	-13	4	5	
174	-2	-12	5	-7	6	1	
175	8	15	16	26	6	-6	
176	10	-14	10	6	2	14	
177	-4	-3	0	11	5	-7	
178	1	13	-11	-5	-1	-14	
179	11	15	28	17	-13	14	
180	17	-5	4	-6	1	-15	
181	10	-12	1	13	-21	2	
182	-12	-14	-10	-5	-9	1	
183	7	14	8	11	13	-1	
184	9	13	9	3	19	5	
185	-39	-16	9	-11	2	6	
186	16	8	3	-3	10	-6	
187	-5	5	-8	1	0	7	
188	-3	9	9	16	10	10	
189	9	-3	10	-10	-3	13	
190	-3	7	6	-9	16	11	
191	-13	0	-4	9	13	9	
192	-1	-8	-3	6	5	-1	
193	-9	-4	-15	-3	6	-18	
194	16	5	6	-8	12	12	
195	-21	-31	-15	-12	-28	-34	
196	1	3	14	6	18	18	
197	-8	-5	-2	0	-4	-20	
198	-23	-15	-34	-23	-20	-24	
199	21	4	-4	16	-20	10	
200	-11	0	2	-18	-22	10	
201	-4	5	-6	-7	2	-18	
202	27	16	10	16	7	9	
203	-8	8	22	4	8	8	
204	-10	-7	3	7	-9	-10	
205	20	-4	-1	-3	4	-4	
206	5	-5	8	3	-1	-8	
207	-7	-24	-8	-15	-19	-20	
208	14	-10	5	15	2	10	
209	-13	-12	-9	-24	8	-26	
210	6	-9	5	-2	0	-15	
211	20	22	18	6	16	12	
212	-18	-18	-18	-22	-9	-10	
213	1	-6	6	-21	-21	20	
214	-5	0	-3	15	5	2	
215	-2	10	1	-6	-7	1	
216	-14	7	-23	16	-22	-10	
217	-8	-10	-1	0	-15	-16	
218	-19	-22	-31	-32	-18	-18	
219	-7	11	11	-18	-21	-4	
220	7	29	16	5	23	3	
221	-22	-14	-10	-17	-18	-10	
222	8	15	13	17	13	-5	
223	-2	8	12	-13	5	-15	
224	7	24	5	-5	7	27	
225	11	1	15	10	5	8	
226	-1	11	18	4	-5	-13	
227	19	1	10	-2	6	7	
228	12	12	11	0	10	7	
229	-7	-18	14	-1	6	5	
230	5	-3	-11	1	-3	4	
231	16	19	16	-5	10	16	
232	9	15	4	17	-1	15	
233	-4	-27	17	0	-6	-9	
234	10	10	9	8	2	-10	
235	-10	-20	-19	-17	-20	-9	
236	3	3	0	18	-10	-8	
237	4	4	-12	-12	-24	8	
238	-1	-28	-12	-15	-13	-27	
239	0	-9	5	4	-4	-3	
240	-23	12	-2	-16	-5	3	
241	-1	-7	11	4	15	9	
242	-5	-12	-10	0	-21	-3	
243	4	-12	-20	-15	-6	-26	
244	-6	-8	6	7	15	-7	
245	11	27	15	24	19	27	
246	10	12	3	18	8	2	
247	-4	-30	-36	-21	1	-8	
248	7	6	17	-3	20	-9	
249	3	2	19	5	11	-4	
250	2	-10	21	-6	-10	-3	
251	-6	-1	-19	-17	-15	-16	
252	12	4	17	15	5	18	
253	-13	5	-3	-24	-17	-5	
254	-17	-7	-2	-20	-20	-1	
255	6	-12	12	2	-10	14	
256	-10	-5	-30	-12	-8	6	
257	-5	8	8	-4	13	7	
258	-5	-15	-10	-16	-23	2	
259	-6	-23	-25	-10	4	-18	
260	19	-14	18	-2	8	-6	
261	27	12	15	20	19	14	
262	1	17	5	-2	5	18	
263	-18	-1	0	13	-7	-19	
264	-4	1	-6	-4	-17	-13	
265	17	2	-14	-8	-2	-4	
266	-6	-7	-7	-4	-7	-15	
267	-15	5	-3	0	1	-10	
268	14	11	-10	-2	9	-5	
269	27	19	1	-7	5	23	
270	-7	-4	-7	-13	-6	-8	
271	15	1	-5	22	5	2	
272	3	11	-22	-1	-3	-18	
273	26	24	29	11	29	37	
274	9	-6	-4	10	-11	2	
275	1	-5	-12	9	-2	-11	
276	-24	-17	-15	-17	-20	-10	
277	12	8	9	-8	6	1	
278	-7	-20	-8	-19	-16	-2	
279	-26	-13	-8	-17	-21	-33	
280	8	1	-11	-13	-20	-10	
281	5	-25	-28	-19	-13	-29	
282	0	4	-5	5	19	6	
283	15	27	18	15	13	3	
284	-6	-6	-24	2	-29	2	
285	23	9	-12	5	14	-2	
286	-15	11	-19	-6	9	-12	
287	-43	-37	-29	15	-15	-33	
288	7	12	6	1	5	10	
289	-7	4	-10	0	-12	-14	
290	15	-1	13	-9	19	10	
291	-10	3	4	-10	12	18	
292	-20	-31	5	-29	-10	-7	
293	-5	-18	-17	-10	-38	-16	
294	13	-12	10	2	15	6	
295	17	5	9	4	3	-6	
296	-15	-7	-4	-33	-9	-17	
297	9	9	-3	15	4	-5	
298	-5	-17	-9	1	6	-18	
299	11	10	-1	1	-4	3	
300	18	8	6	8	3	8	
301	26	-8	2	-1	19	-6	
302	1	7	13	4	-1	4	
303	-6	4	-13	2	-24	-15	
304	7	3	5	10	10	5	
305	-37	-38	-17	-22	-31	-22	
306	-5	-6	-8	22	15	2	
307	16	14	12	10	18	15	
308	-3	3	-10	-5	13	11	
309	8	1	-4	21	1	12	
310	-11	-21	-14	0	-8	8	
311	-6	-3	-20	-29	-6	-19	
312	-6	-2	0	-3	-3	1	
313	-28	-17	-5	1	-10	-2	
314	3	-11	-1	-1	-27	-1	
315	2	1	-12	-24	-8	-3	
316	31	14	21	19	11	21	
317	-3	-27	-14	-8	-12	-21	
318	2	-4	-10	-14	-9	-2	
319	-7	-26	3	-13	-11	-18	
320	8	15	6	7	-6	1	
321	26	9	-7	9	20	-1	
322	-11	-15	-16	-28	-10	-18	
323	5	6	-18	13	-1	-3	
324	-10	2	-4	-8	-4	4	
