Wavelength (m),To fit (1/0),Fit priority (1 is first),function to fit (0-Voigt; 1-Gaussian; 2-Lorentzian),Max position shift (m),Max line fwhm (m),Chemical element,Ionization number (1 is neutrals),Link parameters,E_k (eV),log(A_ki*g_k/?),line index
6.607171E-07,1,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.608489E-07,1,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.609030E-07,1,10,VoigtApparatus,9E-12,1.25E-10,W1,,,,,
6.517227E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.518366E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.519830E-07,0,10,VoigtApparatus,9E-12,1.25E-10,Mo1,,,,,
6.521485E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.523605E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.526440E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.527371E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.529631E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.531710E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.533549E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.535087E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.536430E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.537628E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.538400E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.539689E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.540552E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.541309E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.543188E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.544678E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.546537E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.547883E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.548856E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.550911E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.553450E-07,1,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.554302E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.556212E-07,1,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.558610E-07,1,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.561054E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.562822E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.564466E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.565807E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.567062E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.568075E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.569626E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.570513E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.571081E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.572405E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.574108E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.575302E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.576503E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.577963E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.580255E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.581796E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.582975E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.585129E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.586048E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.587043E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.587762E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.590474E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.591735E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.593216E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.594447E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.596007E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.597257E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.598442E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.599858E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
6.600439E-07,0,10,VoigtApparatus,9E-12,1.25E-10,,,,,,
