6.51312e-007,18591.63765638,12752.296330784,11489.221413617,7738.0793229351,5575.8304697615,3339.5319983286,1809.8784554279,1966.440505462,2046.8372338579,1930.4735480217
6.51322e-007,19127.085218719,13251.495827851,10532.686909138,6918.8926420871,6284.1512602865,3711.3328593881,2471.4713602709,2488.3977971189,2350.8704977288,1764.7926218663
6.51331e-007,18160.999010257,14880.529077918,10440.254292082,8505.8352481101,5595.7409532939,3652.856180464,2236.9630290225,3284.5969751563,1959.7104089346,1466.5817029766
6.5134e-007,17494.810132572,15473.622201406,9831.2274113646,8404.7555102065,4825.8771943928,4375.0782107924,2341.1917167079,3103.1054918072,2497.8073260339,1225.8346070486
6.5135e-007,15940.377137304,13964.371636479,9174.5681526802,8671.0464083586,5611.8344659676,5063.8843324412,2140.0731952459,2857.274335267,2097.7604436223,1372.0967532764
6.51359e-007,18465.186640489,12635.433804828,10235.818663035,7903.9175287704,5916.9346203544,4837.7426253681,2228.6372727835,2783.0457094235,1718.6661535841,2186.3160180782
6.51369e-007,18835.041016834,11373.357258776,12610.62624927,8078.2032635786,6041.4681561493,4074.5277097223,2308.5112873926,2678.6344896773,1718.4291534645,2431.1806915784
6.51378e-007,17654.206350834,12603.021992924,12292.342452919,7915.3538314832,5214.3439530693,4009.6681857017,3126.239289632,2980.4101177928,1773.6208841666,1462.9413441612
6.51388e-007,19300.274872134,12483.848803617,11877.05156985,8889.5794746844,5242.4532438558,3937.9449050608,3356.5189842041,3149.3199287715,2350.123572103,1284.5284298782
6.51397e-007,21580.203382735,12192.17183743,11936.211536173,9956.2211066088,6355.853893876,3586.8288166332,3688.3667873801,2975.4856177614,2478.3726359799,2294.3350640012
6.51407e-007,23673.86559203,12897.683479792,12127.805111027,9816.0549542701,6954.391676967,3348.2306364631,3519.5497240179,3437.062755936,2356.2719690166,2882.9195344626
6.51416e-007,20984.700439082,12540.442105624,10801.296808217,8506.385759635,7156.0651702758,3918.6768402313,3646.0769090461,3694.679997552,1978.779655518,2272.5113643145
6.51425e-007,18479.107604912,12142.580768272,10645.048259213,7734.470265583,6604.4563130489,4190.2395882892,2753.9601719842,3091.9082699383,1381.0460240456,1207.8476238441
6.51435e-007,17404.458472671,10956.445646835,10022.624654365,8199.3497301528,6042.26549189,4713.3663872207,2556.2821489579,2465.435310324,853.43210386509,859.77025539769
6.51444e-007,17535.650944069,12212.343424788,9652.0859988485,8625.44812013,5292.0436497232,3891.5067904838,2702.2122931207,2326.200888981,1202.3915237995,1305.9002811188
6.51454e-007,19039.606532732,13323.739954384,10114.906572013,9214.4039232053,5481.334257021,3375.9336978367,3079.9938602003,1997.6995968445,2925.6823734328,2018.8381566757
6.51463e-007,20720.854884997,12639.691870771,10603.010378309,8175.0660861521,4740.4131850523,3856.3707511486,3498.9468962928,2553.5713748694,2331.5032993672,1692.793215542
6.51473e-007,20428.561155626,12713.087563583,10514.103585583,8080.4203560838,5137.1648778368,3989.0415123999,3240.5411968113,2895.8927464131,2073.388162334,1367.1760001685
6.51482e-007,20157.209380665,12739.10264582,9379.92008621,8350.3908813454,5266.0313127674,4329.519120252,2898.3255438796,2412.1002520544,1477.7020825469,1507.298404658
