1	23	-1	-4	3	1	-13	
2	30	11	-17	17	-7	10	
3	18	-8	9	2	-8	-9	
4	8	8	15	-9	-2	16	
5	13	-22	-24	-6	-7	-20	
6	-20	7	25	-13	-15	-22	
7	3	5	4	10	-3	14	
8	21	5	36	2	20	20	
9	-5	14	-2	-8	3	-3	
10	12	-4	20	0	-3	5	
11	20	30	5	17	-4	14	
12	-11	11	2	0	5	-2	
13	36	-2	0	-1	-4	-4	
14	-11	7	-12	7	1	-12	
15	1	17	6	17	0	18	
16	8	18	10	14	8	20	
17	-5	-30	-12	-26	-25	-38	
18	6	-11	12	-16	5	3	
19	9	12	2	-5	1	13	
20	-4	6	6	23	11	19	
21	23	-18	-6	11	16	7	
22	-30	-6	-30	-21	-3	-9	
23	-10	-5	-19	-18	-3	-24	
24	25	0	2	2	7	-6	
25	-10	21	19	0	18	5	
26	10	15	-5	-2	15	16	
27	13	7	4	-5	10	9	
28	6	-2	6	10	1	12	
29	-8	-4	-4	8	-20	-13	
30	-25	1	-20	-1	-16	-10	
31	-4	10	-3	-1	17	-7	
32	-14	3	-10	-8	-24	-9	
33	-25	0	-10	-15	-33	-12	
34	-7	0	-16	9	13	0	
35	-2	-20	-12	-13	-13	-2	
36	9	15	15	7	1	15	
37	-26	10	-1	-10	-16	-4	
38	-3	-15	-3	-8	5	6	
39	-20	-5	22	-17	5	12	
40	13	10	24	20	23	7	
41	16	-6	-10	20	-29	3	
42	-4	5	9	0	9	-6	
43	4	9	7	4	-12	-10	
44	17	-2	16	6	5	16	
45	6	-14	-18	-21	-4	-22	
46	-8	16	-4	11	-9	10	
47	37	38	29	7	25	12	
48	-7	-13	-23	-21	8	-25	
49	-20	-9	-15	5	-5	-20	
50	-28	-42	-9	-25	-13	-16	
51	7	-4	2	5	19	6	
52	4	13	3	-6	9	2	
53	12	-4	8	-16	-5	12	
54	2	-16	0	-25	-16	-13	
55	5	11	-1	-10	-8	13	
56	6	-4	-7	-10	-9	-1	
57	-7	-2	-2	2	-6	-2	
58	6	9	11	23	18	7	
59	-15	-8	-7	-2	8	-12	
60	-25	-26	-2	-4	-2	2	
61	-7	3	-1	-12	2	-20	
62	-6	-11	2	9	-5	-12	
63	2	-5	-14	18	11	-7	
64	2	22	7	23	18	5	
65	2	2	3	-29	-2	2	
66	16	1	1	-8	10	-9	
67	-7	5	-4	16	-1	-11	
68	-15	-10	11	-1	-26	-13	
69	-22	16	-9	11	-13	-6	
70	-2	-6	0	-6	-8	-7	
71	-11	-13	-4	2	1	-24	
72	1	0	22	-12	-2	5	
73	-8	-14	-32	-28	-8	-35	
74	-10	-1	15	-7	-5	6	
75	-2	-15	0	-10	-21	-14	
76	21	11	28	-2	15	18	
77	-2	-6	3	6	-2	-6	
78	10	5	15	20	20	0	
79	-5	-8	-10	6	-15	-9	
80	16	38	16	-10	-5	21	
81	5	-10	-7	-7	-10	-7	
82	-9	9	3	-2	9	0	
83	27	31	35	26	16	26	
84	17	24	19	14	-2	7	
85	19	5	7	6	1	-6	
86	-8	19	9	-4	-10	-2	
87	8	2	-11	-3	-9	-9	
88	-30	-19	-19	-10	-14	-5	
89	2	-12	-8	-12	-2	-18	
90	-9	29	-2	0	1	8	
91	-1	15	9	-1	-6	10	
92	1	-11	-10	-10	-22	1	
93	-6	1	4	11	0	2	
94	-4	-6	8	-14	-15	-15	
95	4	-14	-14	-10	-3	-9	
96	10	-4	-12	18	-2	-9	
97	-28	-18	1	-14	6	-10	
98	-18	23	5	0	5	-3	
99	1	-12	-17	-21	-20	-2	
100	-12	-4	-4	14	-16	-17	
101	12	-1	2	17	9	16	
102	26	23	23	3	18	6	
103	1	15	-3	-3	-6	-9	
104	-3	-5	4	12	3	2	
105	-1	-10	9	-16	-16	-4	
106	20	-3	-7	-13	-5	-5	
107	6	-1	19	2	14	3	
108	-13	-7	14	-1	-10	-5	
109	-11	16	25	18	20	10	
110	-2	1	9	1	-9	-1	
111	-6	16	2	6	11	-10	
112	6	-2	6	19	15	15	
113	-1	-5	-22	-15	-15	-8	
114	-20	-18	-17	-10	-15	-16	
115	13	19	-2	-7	-5	6	
116	24	17	18	17	3	22	
117	-5	-12	1	-15	7	0	
118	-1	13	8	6	27	1	
119	9	28	16	3	18	2	
120	-8	-9	9	0	-4	-19	
121	-4	-8	-22	-8	6	-14	
122	-46	-31	-25	-23	-32	-18	
123	-6	1	-5	-11	-2	7	
124	6	4	-15	-18	10	-14	
125	-16	-9	-22	-7	-4	-5	
126	-16	2	10	-9	-7	4	
127	-19	-20	-5	-19	9	-2	
128	-3	-30	0	-16	-25	3	
129	11	10	0	14	-6	9	
130	11	7	10	-6	-15	14	
131	-4	-9	-17	5	13	2	
132	11	-11	-5	-11	-8	-1	
133	22	14	14	22	2	15	
134	-1	7	23	19	10	7	
135	-7	-2	-39	-9	-8	-15	
136	-33	-20	-33	-19	-27	-29	
137	12	6	21	-14	-12	-7	
138	5	9	6	-2	-8	8	
139	11	17	-7	22	-8	17	
140	17	6	3	7	0	11	
141	11	16	15	23	23	25	
142	-2	10	-5	-10	12	-11	
143	-16	-5	-13	17	-18	18	
144	4	9	6	10	0	2	
145	14	20	30	-2	11	-3	
146	-8	-3	-13	-13	4	-13	
147	-18	-1	-2	12	-8	4	
148	3	14	-6	17	16	-1	
149	-20	-18	-24	-20	-35	-9	
150	12	3	22	-13	-23	8	
151	-32	-18	9	-4	-3	-15	
152	5	-1	6	26	24	24	
153	-4	14	16	-3	-9	-12	
154	18	8	-2	31	20	20	
155	-5	3	0	20	-7	16	
156	2	3	11	-29	-27	-3	
157	15	-2	-7	-1	-21	28	
158	0	-3	3	0	12	8	
159	17	18	18	13	8	-1	
160	24	6	-4	5	27	24	
161	32	13	27	10	15	1	
162	24	21	-4	30	18	19	
163	-1	7	13	-10	-11	14	
164	-1	-21	-19	-3	-7	0	
165	-5	-5	-31	-9	-6	-5	
166	-8	4	12	-4	6	5	
167	-12	3	11	7	-9	-7	
168	8	-12	-37	-20	-12	-20	
169	17	-2	5	2	0	16	
170	-9	-3	-13	1	-18	-5	
171	-7	-20	-5	-3	-4	-13	
172	8	9	-6	12	-1	-15	
173	4	1	-2	2	0	19	
174	-5	4	16	-12	-1	3	
175	18	-9	15	-9	2	2	
176	39	24	11	45	19	15	
177	3	19	6	0	-4	0	
178	-12	-15	6	-6	3	3	
179	-17	-20	-14	-21	-30	-14	
180	17	5	9	24	20	28	
181	-12	-14	2	4	-4	-3	
182	4	-12	-8	-7	-21	-8	
183	-10	-21	-15	-14	-12	-19	
184	15	13	5	23	15	0	
185	-13	-4	-14	-16	-11	-4	
186	1	6	-19	2	-2	-34	
187	12	-2	11	-1	18	8	
188	-13	15	5	-3	-3	4	
189	-20	0	-24	-6	-34	-6	
190	19	32	-7	4	7	11	
191	5	1	16	10	0	22	
192	33	37	15	22	30	17	
193	3	3	1	-6	-7	3	
194	-18	-11	-16	-7	-22	-18	
195	18	3	11	23	5	12	
196	25	12	16	31	17	29	
197	4	8	-15	2	-20	9	
198	27	-5	20	19	13	9	
199	-21	-11	-7	-21	1	-25	
200	0	-8	3	-8	-24	-33	
201	-8	-10	-1	-5	-14	1	
202	-5	3	0	13	6	-10	
203	13	-5	-5	0	7	10	
204	-2	0	-7	-2	2	-10	
205	5	11	12	-3	-17	10	
206	8	1	21	8	19	2	
207	-20	-21	-16	-26	-7	-20	
208	-6	9	1	-9	7	10	
209	0	15	2	22	-3	-5	
210	19	35	19	12	28	10	
211	-17	0	-20	-10	-7	7	
212	-9	10	-25	-10	-3	-22	
213	30	9	21	11	11	10	
214	-2	-24	-7	-17	-16	-14	
215	28	5	15	8	0	37	
216	6	-4	2	14	9	-6	
217	24	19	-4	14	7	16	
218	-9	-28	-21	-28	-15	-13	
219	-6	-5	4	-2	-13	-19	
220	5	7	4	20	14	2	
221	1	-7	8	-15	2	-5	
222	-6	-25	0	-13	-15	-32	
223	21	17	2	22	9	12	
224	28	9	-1	14	16	-1	
225	-3	-8	12	2	1	7	
226	3	11	-22	1	4	-1	
227	-7	13	-4	0	-14	-24	
228	-3	2	17	9	25	17	
229	-1	-10	4	-25	-13	-9	
230	44	27	19	19	27	37	
231	16	16	-5	25	2	-19	
232	3	-11	-16	-7	15	-29	
233	-26	-8	-6	-17	3	6	
234	4	12	15	13	14	17	
235	17	5	17	7	-22	2	
236	13	24	-3	-19	-10	-16	
237	13	-8	2	0	-5	-14	
238	7	14	1	2	12	16	
239	14	12	10	16	24	17	
240	-19	-18	-7	-21	-19	-8	
241	-6	-12	-14	-5	-8	-9	
242	-4	-15	-11	-8	-19	-1	
243	-26	-7	-21	-20	-10	-34	
244	30	11	33	15	21	37	
245	5	-10	1	7	17	-7	
246	17	19	10	15	2	16	
247	2	-12	-20	-27	-7	-18	
248	-17	2	-2	-8	-17	-11	
249	2	4	-12	13	-11	11	
250	-13	21	23	36	10	-12	
251	-4	6	-8	-6	10	-4	
252	-2	0	17	14	20	16	
253	3	-20	0	-26	-14	2	
254	-1	-12	7	-16	-11	0	
255	-12	-19	-9	-17	-6	1	
256	32	19	27	19	40	31	
257	1	-12	-21	-18	-7	-12	
258	27	13	4	11	18	21	
259	7	4	5	-1	6	12	
260	-5	7	3	5	-3	-9	
261	-2	-9	-5	12	-18	2	
262	9	-3	3	4	20	7	
263	1	10	4	4	11	-4	
264	-9	1	7	13	2	9	
265	1	16	15	19	22	0	
266	17	25	13	1	37	17	
267	5	-5	-2	-5	0	-4	
268	14	15	-4	2	-13	-5	
269	0	7	15	3	6	5	
270	-8	11	-18	-14	-16	-7	
271	5	14	15	1	-8	-9	
272	2	-3	10	8	2	7	
273	-4	-1	8	-2	6	12	
274	26	9	6	7	18	1	
275	-13	7	-2	-7	-31	-16	
276	-8	-9	-4	-36	-7	-15	
277	15	22	15	-6	13	17	
278	11	11	21	15	9	5	
279	-7	-3	-24	-8	-16	-24	
280	-22	-10	-11	-25	-16	5	
281	24	10	17	13	7	18	
282	14	12	1	4	11	7	
283	24	17	5	28	4	12	
284	-4	2	-4	-7	-4	-27	
285	16	-10	12	13	-8	0	
286	1	10	5	-3	5	-12	
287	-7	15	10	14	2	9	
288	4	-6	-18	-17	-21	-2	
289	-6	-13	-5	-5	-9	-15	
290	5	-13	-6	16	-8	0	
291	4	-8	-14	-4	-13	-3	
292	1	1	10	-12	2	4	
293	14	2	1	-2	-17	2	
294	7	9	24	16	-12	13	
295	-4	-5	-16	-28	-10	-15	
296	5	3	19	-9	6	-10	
297	8	4	10	20	6	-16	
298	-24	-21	-18	-22	-26	-18	
299	12	-17	2	-2	-4	-22	
300	18	7	10	18	8	3	
301	-4	-5	-7	-11	-12	-7	
302	-18	-21	-28	-22	-1	-28	
303	-17	-7	-16	-27	-6	-12	
304	-19	-6	-26	-21	-5	-30	
305	0	6	14	-10	7	-8	
306	1	-11	-8	-18	-9	-28	
307	34	26	9	27	15	27	
308	1	-4	0	-23	-8	-14	
309	-18	0	-18	-12	-12	-4	
310	29	20	20	13	6	5	
311	16	25	34	13	8	-2	
312	9	2	11	16	8	6	
313	-26	-34	-22	-20	-23	-4	
314	-3	0	-11	-11	0	8	
315	19	24	10	35	5	18	
316	10	15	2	5	9	12	
317	-6	-11	-14	0	2	-10	
318	-5	22	8	-6	-2	6	
319	5	3	-6	6	13	-1	
320	11	6	-5	-21	-26	-8	
321	5	-2	-7	3	-6	4	
322	6	-2	14	11	35	1	
323	-2	-1	15	5	0	17	
324	-3	-10	0	-6	-17	13	
325	15	22	5	8	13	16	
326	33	13	13	-14	16	14	
327	23	10	22	24	20	16	
328	27	15	10	13	16	16	
329	24	4	21	3	11	6	
330	15	6	8	2	13	17	
331	-8	17	-5	10	-16	2	
332	-22	-26	-29	-14	-15	-29	
333	28	2	22	22	8	20	
334	0	11	19	7	-9	10	
335	26	32	23	4	32	26	
336	30	14	24	12	19	5	
337	3	-1	-9	-6	-14	-9	
338	-15	-6	-25	19	0	-6	
339	19	19	5	16	22	9	
340	30	21	3	10	20	10	
341	-10	-4	-1	-7	-20	-10	
342	9	10	-17	-3	-4	-6	
343	8	26	15	8	9	4	
344	19	10	15	17	9	20	
345	17	3	-18	-15	-20	1	
346	2	2	-10	1	5	-20	
347	21	23	13	3	-2	-2	
348	36	21	12	0	-4	-6	
349	4	46	22	19	14	13	
350	22	23	9	1	-7	11	
351	3	18	7	13	33	-1	
352	7	-1	21	-14	-24	-6	
353	0	1	-21	-12	-18	-25	
354	19	34	23	9	-11	-5	
355	59	45	6	2	16	6	
356	27	41	-17	6	-13	-29	
357	31	12	-10	6	-8	-14	
358	65	41	27	42	14	13	
359	65	58	-5	47	1	29	
360	46	27	0	23	5	3	
361	27	71	1	9	14	4	
362	71	95	16	14	22	25	
363	47	110	13	25	23	6	
364	40	51	27	8	2	32	
365	50	33	40	-10	10	7	
366	41	51	14	12	6	2	
367	83	52	37	20	17	22	
368	55	60	26	28	30	26	
369	115	78	48	18	19	11	
370	81	43	11	3	-6	-16	
371	70	57	46	24	26	31	
372	94	100	66	34	2	9	
373	121	119	84	27	25	14	
374	95	129	32	38	24	21	
375	214	157	45	27	42	5	
376	152	122	49	19	19	-3	
377	135	102	49	27	52	-12	
378	156	139	60	19	25	12	
379	258	213	99	62	46	30	
380	202	168	99	25	14	35	
381	219	154	96	25	36	14	
382	373	194	86	39	34	12	
383	373	194	79	31	6	15	
384	283	254	94	43	5	0	
385	328	207	68	58	9	10	
386	444	247	57	88	40	51	
387	623	273	90	66	19	64	
388	530	411	131	61	44	50	
389	426	423	109	61	87	26	
390	590	602	229	84	106	64	
391	687	624	213	146	162	84	
392	738	541	243	216	143	65	
393	918	584	322	136	155	154	
394	914	775	360	119	129	151	
395	953	1123	446	210	65	33	
396	1194	1233	460	253	145	59	
397	1160	967	376	204	119	101	
398	975	823	274	292	154	48	
399	804	662	260	173	191	-5	
400	735	621	238	148	137	37	
401	622	589	204	155	91	47	
402	538	562	193	147	94	25	
403	592	624	252	196	54	36	
404	655	641	263	175	82	-4	
405	854	595	355	215	123	34	
406	896	607	287	189	139	55	
407	844	729	195	190	97	22	
408	746	962	283	217	90	65	
409	779	1159	405	210	108	128	
410	1001	1116	518	172	61	48	
411	1028	1106	506	234	76	37	
412	1193	1291	431	312	127	72	
413	1426	1475	449	367	222	90	
414	1852	1627	569	358	215	67	
415	1900	1713	672	431	242	164	
416	1978	1948	725	542	292	191	
417	2397	2078	1011	562	295	175	
418	3067	2892	1170	658	296	271	
419	3880	4610	1621	901	379	161	
420	4405	5273	2000	1159	504	174	
421	4568	5404	1995	1463	476	165	
422	2879	4222	1499	1210	350	175	
423	1915	2510	823	663	240	121	
424	1403	1569	567	383	155	102	
425	1059	1119	428	306	112	78	
426	1048	1000	380	388	159	40	
427	1096	943	364	299	116	58	
428	1019	991	411	274	106	69	
429	1115	1062	436	255	120	108	
430	1280	1253	520	363	141	139	
431	1521	1556	519	278	160	91	
432	1685	1752	491	336	141	58	
433	1942	2121	694	468	156	67	
434	2311	2568	862	581	209	66	
435	2752	3333	1238	704	281	101	
436	3670	4950	1681	1025	391	88	
437	4614	6105	1915	1484	531	119	
438	4370	5306	1827	1630	412	173	
439	3451	3514	1368	1132	266	212	
440	1975	1975	782	596	138	95	
441	1314	1166	530	446	143	89	
442	1132	1016	357	313	154	115	
443	1021	873	212	193	87	100	
444	739	796	259	250	121	99	
445	868	804	269	235	131	124	
446	886	889	378	269	77	74	
447	869	888	395	231	105	37	
448	1069	981	482	269	120	37	
449	1184	1369	441	303	154	40	
450	1510	1602	601	362	189	56	
451	1838	1954	908	329	270	127	
452	1782	1736	614	251	238	117	
453	1397	1442	443	170	174	96	
454	1094	1208	373	146	182	135	
455	826	1035	277	206	124	111	
456	754	944	322	287	117	185	
457	822	809	250	163	116	97	
458	796	862	248	148	131	83	
459	774	811	275	133	93	120	
460	830	843	247	214	62	81	
461	945	759	254	258	83	54	
462	1000	892	333	251	85	54	
463	843	1059	284	242	94	80	
464	876	1065	315	233	100	168	
465	862	1209	321	182	100	72	
466	978	1078	280	225	90	88	
467	1178	1097	354	266	111	100	
468	1195	1619	519	258	61	107	
469	1194	1566	437	345	127	76	
470	1019	1065	404	342	148	90	
471	857	759	412	245	176	111	
472	838	800	263	178	188	64	
473	659	710	241	124	156	71	
474	530	734	213	132	71	87	
475	625	535	261	144	82	40	
476	664	681	284	139	34	61	
477	696	881	291	129	70	92	
478	771	1034	269	190	112	140	
479	808	921	316	206	85	114	
480	812	861	320	208	202	72	
481	845	815	246	220	204	71	
482	832	765	321	170	114	71	
483	840	660	275	168	79	92	
484	806	776	255	180	129	141	
485	781	731	297	200	134	125	
486	932	747	344	237	154	75	
487	1012	771	308	126	96	159	
488	806	789	327	155	79	113	
489	766	673	339	165	82	55	
490	750	709	314	197	84	58	
491	819	734	203	155	84	76	
492	780	694	207	179	84	79	
493	1042	839	187	167	67	76	
494	1154	856	209	234	99	49	
495	883	788	228	266	71	48	
496	864	887	256	192	126	55	
497	1035	1095	396	171	130	59	
498	1250	1180	479	221	155	84	
499	1219	1162	595	212	154	170	
500	1313	1398	539	287	185	138	
501	1377	1536	489	385	207	84	
502	1732	1820	579	453	175	119	
503	1981	1944	760	545	175	223	
504	2039	2244	851	675	218	183	
505	2557	2839	963	564	280	185	
506	2959	3839	1267	746	320	201	
507	3634	4386	1613	1009	332	198	
508	4077	5094	1883	1302	516	218	
509	4975	5587	2275	1505	598	209	
510	5355	5912	1911	1443	402	150	
511	5286	6143	1528	1087	282	123	
512	5540	5782	1425	701	230	131	
513	5367	4943	1044	550	224	144	
