1,10006,7246,6649,4876,3854,2797,2074,2148,2186,2131,
2,10246,7469,6184,4476,4176,2960,2374,2382,2317,2040,
3,9749,8199,6101,5187,3812,2894,2225,2720,2094,1861,
4,9468,8513,5847,5173,3482,3269,2308,2668,2382,1781,
5,8747,7813,5549,5311,3865,3606,2224,2563,2204,1861,
6,9919,7164,6030,4928,3989,3479,2246,2508,2005,2226,
7,10122,6594,7179,5036,4073,3143,2308,2483,2029,2366,
8,9554,7164,7017,4946,3668,3098,2680,2611,2040,1893,
9,10285,7061,6774,5361,3636,3019,2744,2646,2268,1764,
10,11372,6934,6813,5877,4175,2866,2914,2577,2342,2255,
11,12358,7263,6899,5806,4453,2748,2829,2790,2279,2528,
12,11106,7110,6287,5201,4562,3030,2901,2924,2112,2251,
13,9946,6946,6237,4859,4324,3181,2501,2661,1851,1769,
14,9452,6400,5958,5095,4074,3445,2424,2381,1618,1621,
15,9528,7008,5796,5310,3732,3069,2506,2328,1796,1845,
16,10200,7496,5978,5552,3786,2790,2650,2138,2577,2148,
17,10953,7132,6169,5021,3397,2979,2810,2363,2258,1956,
18,10807,7158,6118,4967,3575,3032,2678,2515,2126,1792,
19,10705,7196,5607,5120,3661,3218,2541,2311,1869,1883,
20,10052,7722,5978,5438,3519,3487,2455,2372,1881,1573,
21,10489,7066,6708,6442,3439,3730,2396,2274,2208,1529,
22,10598,6035,6396,6636,3451,3833,2694,2297,2495,1941,
23,11060,6037,6295,6263,4215,3583,2819,2588,2330,2167,
24,11573,6496,6047,5187,4462,2952,2930,2966,2543,2451,
25,11191,7334,5817,4293,3910,3246,3229,3243,2281,2355,
26,10438,7420,5897,4318,3564,3424,3224,3063,2082,2099,
27,9833,7111,6014,4950,3756,2970,2928,2910,2099,2170,
28,10285,6901,5639,5079,3861,2636,2695,3002,2308,1945,
29,9450,6809,4734,4883,4116,2587,2515,2871,2406,1709,
30,9224,6935,5355,5153,4058,2935,2325,2666,2347,1772,
31,9367,6836,5664,4939,3383,3293,2245,2686,2528,1977,
32,10393,7132,6395,4869,3429,3193,2184,2706,2351,2449,
