Measured unit,Wavelength (m)
200.0755368,200.0755368e-9
200.0824752,200.0824752e-9
200.0894132,200.0894132e-9
200.0963509,200.0963509e-9
200.1032882,200.1032882e-9
200.1102251,200.1102251e-9
200.1171617,200.1171617e-9
200.1240978,200.1240978e-9
200.1310336,200.1310336e-9
200.1379691,200.1379691e-9
200.1449041,200.1449041e-9
200.1518388,200.1518388e-9
200.1587731,200.1587731e-9
200.1657071,200.1657071e-9
200.1726407,200.1726407e-9
200.1795739,200.1795739e-9
200.1865067,200.1865067e-9
200.1934392,200.1934392e-9
200.2003712,200.2003712e-9
200.207303,200.207303e-9
200.2142343,200.2142343e-9
200.2211653,200.2211653e-9
200.2280959,200.2280959e-9
200.2350261,200.2350261e-9
200.2419559,200.2419559e-9
200.2488854,200.2488854e-9
200.2558145,200.2558145e-9
200.2627433,200.2627433e-9
200.2696716,200.2696716e-9
200.2765996,200.2765996e-9
200.2835273,200.2835273e-9
200.2904545,200.2904545e-9
200.2973814,200.2973814e-9
200.3043079,200.3043079e-9
200.311234,200.311234e-9
200.3181598,200.3181598e-9
200.3250852,200.3250852e-9
200.3320102,200.3320102e-9
200.3389349,200.3389349e-9
200.3458592,200.3458592e-9
200.3527831,200.3527831e-9
200.3597066,200.3597066e-9
200.3666298,200.3666298e-9
200.3735526,200.3735526e-9
200.380475,200.380475e-9
200.387397,200.387397e-9
200.3943187,200.3943187e-9
200.40124,200.40124e-9
200.4081609,200.4081609e-9
200.4150815,200.4150815e-9
200.4220017,200.4220017e-9
200.4289215,200.4289215e-9
200.4358409,200.4358409e-9
200.44276,200.44276e-9
200.4496787,200.4496787e-9
200.456597,200.456597e-9
200.463515,200.463515e-9
200.4704326,200.4704326e-9
200.4773498,200.4773498e-9
200.4842666,200.4842666e-9
200.4911831,200.4911831e-9
200.4980992,200.4980992e-9
200.5050149,200.5050149e-9
200.5119303,200.5119303e-9
200.5188453,200.5188453e-9
200.5257599,200.5257599e-9
200.5326741,200.5326741e-9
200.539588,200.539588e-9
200.5465015,200.5465015e-9
200.5534146,200.5534146e-9
