Measured unit,Wavelength (m),Sensitivity,Additional multiplier,Additional additive
199.780202,1.9978E-07,0,1,0
199.787156,1.99787E-07,0,1,0
199.794109,1.99794E-07,0,1,0
199.801062,1.99801E-07,0,1,0
199.808015,1.99808E-07,0,1,0
199.814968,1.99815E-07,0,1,0
199.82192,1.99822E-07,0,1,0
199.828871,1.99829E-07,0,1,0
199.835823,1.99836E-07,0,1,0
199.842774,1.99843E-07,0,1,0
199.849724,1.9985E-07,0,1,0
199.856675,1.99857E-07,0,1,0
199.863624,1.99864E-07,0,1,0
199.870574,1.99871E-07,0,1,0
199.877523,1.99878E-07,0,1,0
199.884472,1.99884E-07,0,1,0
199.89142,1.99891E-07,0,1,0
199.898368,1.99898E-07,0,1,0
199.905316,1.99905E-07,0,1,0
199.912263,1.99912E-07,0,1,0
199.91921,1.99919E-07,0,1,0
199.926157,1.99926E-07,0,1,0
199.933103,1.99933E-07,0,1,0
199.940049,1.9994E-07,0,1,0
199.946995,1.99947E-07,0,1,0
199.95394,1.99954E-07,0,1,0
199.960884,1.99961E-07,0,1,0
199.967829,1.99968E-07,0,1,0
199.974773,1.99975E-07,0,1,0
199.981717,1.99982E-07,0,1,0
199.98866,1.99989E-07,0,1,0
199.995603,1.99996E-07,0,1,0
200.002545,2.00003E-07,0,1,0
200.009488,2.00009E-07,0,1,0
200.016429,2.00016E-07,0,1,0
200.023371,2.00023E-07,0,1,0
200.030312,2.0003E-07,0,1,0
200.037253,2.00037E-07,0,1,0
200.044193,2.00044E-07,0,1,0
200.051133,2.00051E-07,0,1,0
200.058073,2.00058E-07,0,1,0
200.065012,2.00065E-07,0,1,0
200.071951,2.00072E-07,0,1,0
200.07889,2.00079E-07,0,1,0
200.085828,2.00086E-07,0,1,0
200.092766,2.00093E-07,0,1,0
200.099703,2.001E-07,0,1,0
200.10664,2.00107E-07,0,1,0
200.113577,2.00114E-07,0,1,0
200.120513,2.00121E-07,0,1,0
200.127449,2.00127E-07,0,1,0
200.134385,2.00134E-07,0,1,0
200.14132,2.00141E-07,0,1,0
200.148255,2.00148E-07,0,1,0
200.155189,2.00155E-07,0,1,0
200.162124,2.00162E-07,0,1,0
200.169057,2.00169E-07,0,1,0
200.175991,2.00176E-07,0,1,0
200.182924,2.00183E-07,0,1,0
200.189857,2.0019E-07,0,1,0
200.196789,2.00197E-07,0,1,0
200.203721,2.00204E-07,0,1,0
200.210653,2.00211E-07,0,1,0
200.217584,2.00218E-07,0,1,0
200.224515,2.00225E-07,0,1,0
200.231445,2.00231E-07,0,1,0
200.238375,2.00238E-07,0,1,0
200.245305,2.00245E-07,0,1,0
200.252234,2.00252E-07,0,1,0
200.259163,2.00259E-07,0,1,0
200.266092,2.00266E-07,0,1,0
200.27302,2.00273E-07,0,1,0
200.279948,2.0028E-07,0,1,0
200.286876,2.00287E-07,0,1,0
200.293803,2.00294E-07,0,1,0
200.30073,2.00301E-07,0,1,0
200.307656,2.00308E-07,0,1,0
