Wavelength (m),Identificator,Function to fit,To fit (1/0),Fit priority (1 is first),Max position shift (m),Max line fwhm (m),Max influence radius (m),Linked variables
3.510400E-07,Ni1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.515052E-07,Ni1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.524536E-07,Ni1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.559410E-07,Ni2,VoigtFWHM,,,3.00E-11,2.00E-10,4.00E-10,
3.566372E-07,Ni1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.572510E-07,W2,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.578682E-07,Cr1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.581193E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.592440E-07,W2,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.593481E-07,Cr1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.605320E-07,Cr1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.613790E-07,W2,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.617520E-07,W1,Gaussian,,,3.00E-11,2.00E-10,4.00E-10,hwhm = $W1_hwhm_var
3.619391E-07,Ni1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.626930E-07,Ni2,VoigtFWHM,,,3.00E-11,2.00E-10,4.00E-10,
3.641450E-07,W2,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.657690E-07,W2,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.719935E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.734864E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.737132E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.745561E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.748262E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.749485E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.758233E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.798252E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.813500E-07,Be1,VoigtFWHM,,,3.00E-11,5.00E-10,2.00E-09,
3.820425E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.859911E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.864104E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.865992E-07,W1,Gaussian,,,3.00E-11,2.00E-10,4.00E-10,hwhm = $W1_hwhm_var
3.868003E-07,W1,Gaussian,,,3.00E-11,2.00E-10,4.00E-10,hwhm = $W1_hwhm_var
3.886282E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.902953E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.933661E-07,Ca2,Voigt,,,3.00E-11,2.00E-10,2.00E-09,
3.968467E-07,Ca2,Voigt,,,3.00E-11,2.00E-10,2.00E-09,
3.993590E-07,Ca2_ghost,Voigt,,,3.00E-11,2.00E-10,2.00E-09,
4.008750E-07,W1,Gaussian,,,3.00E-11,2.00E-10,4.00E-10,hwhm = $W1_hwhm_var
4.045813E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
4.069882E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
4.074360E-07,W1,Gaussian,,,3.00E-11,2.00E-10,4.00E-10,hwhm = $W1_hwhm_var
4.188324E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
4.226727E-07,Ca1,Voigt,,,3.00E-11,2.00E-10,4.00E-10,
4.244400E-07,W1,Gaussian,,,3.00E-11,2.00E-10,4.00E-10,hwhm = $W1_hwhm_var
4.254331E-07,Cr1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
4.274806E-07,Cr1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
4.277528E-07,Ar2,VoigtFWHM,,,3.00E-11,3.00E-10,2.00E-09,
4.289733E-07,Cr1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
4.294610E-07,W1,Gaussian,,,3.00E-11,2.00E-10,4.00E-10,hwhm = $W1_hwhm_var
4.302110E-07,W1,Gaussian,,,3.00E-11,2.00E-10,4.00E-10,hwhm = $W1_hwhm_var
4.307600E-07,W1,Gaussian,,,3.00E-11,2.00E-10,4.00E-10,hwhm = $W1_hwhm_var
4.348064E-07,Ar2,VoigtFWHM,,,3.00E-11,3.00E-10,2.00E-09,
4.360663E-07,Be2,VoigtFWHM,,,5.00E-12,5.00E-10,2.00E-09,
4.360988E-07,Be2,VoigtFWHM,,,5.00E-12,5.00E-10,2.00E-09,
4.383545E-07,Fe1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
4.411695E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
4.572664E-07,Be1,VoigtFWHM,,,4.00E-11,7.00E-10,2.00E-09,
4.573568E-07,_,VoigtApparatus,0,,3.00E-11,2.00E-10,4.00E-10,
4.609567E-07,Ar2,VoigtApparatus,,,3.00E-11,3.00E-10,2.00E-09,
4.653421E-07,Be1_ghost,VoigtFWHM,,,4.00E-11,5.00E-10,2.00E-09,
4.673329E-07,Be2,VoigtFWHM,,,5.00E-12,2.00E-10,2.00E-09,
4.673423E-07,Be2,VoigtFWHM,,,5.00E-12,2.00E-10,2.00E-09,
4.726868E-07,Ar2,VoigtFWHM,,,3.00E-11,3.00E-10,2.00E-09,
