Wavelength (m),To fit (1/0),Fit priority (1 is first),function to fit (0-Voigt; 1-Gaussian; 2-Lorentzian),Max position shift (m),Max line fwhm (m),Chemical element,Ionization number (1 is neutrals),E_k (eV),log(A_ki*g_k/?),line index
3.613790E-07,1,10,VoigtApparatus,3E-11,2E-10,W2,,,,
3.617520E-07,1,10,VoigtApparatus,3E-11,2E-10,W1,,,,
3.619391E-07,1,10,VoigtApparatus,3E-11,2E-10,Ni1,,,,
3.626930E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ni2,,,,
3.641450E-07,1,10,VoigtApparatus,3E-11,2E-10,W2,,,,
3.657690E-07,1,10,VoigtApparatus,3E-11,2E-10,W2,,,,
3.719935E-07,1,10,VoigtApparatus,3E-11,2E-10,Fe1,,,,
3.734864E-07,1,10,VoigtApparatus,3E-11,2E-10,Fe1,,,,
3.737132E-07,1,10,VoigtApparatus,3E-11,2E-10,Fe1,,,,
3.745561E-07,1,10,VoigtApparatus,3E-11,2E-10,Fe1,,,,
3.748262E-07,1,10,VoigtApparatus,3E-11,2E-10,Fe1,,,,
3.749485E-07,1,10,VoigtApparatus,3E-11,2E-10,Fe1,,,,
3.758233E-07,1,10,VoigtApparatus,3E-11,2E-10,Fe1,,,,
3.798252E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
3.813500E-07,1,10,VoigtFWHM,3E-11,5E-10,Be1,,,,
3.820425E-07,1,10,VoigtApparatus,3E-11,2E-10,Fe1,,,,
3.859911E-07,1,10,VoigtApparatus,3E-11,2E-10,Fe1,,,,
3.864104E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
3.865992E-07,1,10,VoigtApparatus,3E-11,2E-10,W1,,,,
3.868003E-07,1,10,VoigtApparatus,3E-11,2E-10,W1,,,,
3.886282E-07,1,10,VoigtApparatus,3E-11,2E-10,Fe1,,,,
3.902953E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
3.933661E-07,1,10,VoigtApparatus,3E-11,2E-10,Ca2,,,,
3.968467E-07,1,10,VoigtApparatus,3E-11,2E-10,Ca2,,,,
3.993590E-07,1,10,VoigtFWHM,3E-11,2E-10,Ca2_ghost,,,,
4.008750E-07,1,10,VoigtApparatus,3E-11,2E-10,W1,,,,
4.045813E-07,1,10,VoigtApparatus,3E-11,2E-10,Fe1,,,,
4.069882E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
4.074360E-07,1,10,VoigtApparatus,3E-11,2E-10,W1,,,,
4.188324E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
4.226727E-07,1,10,VoigtApparatus,3E-11,2E-10,Ca1,,,,
4.244400E-07,1,10,VoigtApparatus,3E-11,2E-10,W1,,,,
4.254331E-07,1,10,VoigtApparatus,3E-11,2E-10,Cr1,,,,
4.274806E-07,1,10,VoigtApparatus,3E-11,2E-10,Cr1,,,,
4.277528E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ar2,,,,
4.289733E-07,1,10,VoigtApparatus,3E-11,2E-10,Cr1,,,,
4.294610E-07,1,10,VoigtApparatus,3E-11,2E-10,W1,,,,
4.302110E-07,1,10,VoigtApparatus,3E-11,2E-10,W1,,,,
4.307600E-07,1,10,VoigtApparatus,3E-11,2E-10,W1,,,,
4.348064E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ar2,,,,
4.360663E-07,1,10,VoigtFWHM,5E-12,5E-10,Be2,,,,
4.360988E-07,1,10,VoigtFWHM,5E-12,5E-10,Be2,,,,
4.383545E-07,1,10,VoigtApparatus,3E-11,2E-10,Fe1,,,,
4.411695E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
4.572664E-07,1,10,VoigtFWHM,4E-11,7E-10,Be1,,,,
4.573568E-07,0,10,VoigtApparatus,3E-11,2E-10,_,,,,
4.609567E-07,1,10,VoigtApparatus,3E-11,5.5E-10,Ar2,,,,
4.653421E-07,1,10,VoigtFWHM,4E-11,5E-10,Be1_ghost,,,,
4.673329E-07,1,10,VoigtFWHM,5E-12,2E-10,Be2,,,,
4.673423E-07,1,10,VoigtFWHM,5E-12,2E-10,Be2,,,,
4.726868E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ar2,,,,
4.764865E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ar2,,,,
4.806020E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ar2,,,,
4.879864E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ar2,,,,
5.204505E-07,1,10,VoigtApparatus,3E-11,2E-10,Cr1,,,,
5.206021E-07,1,10,VoigtApparatus,3E-11,2E-10,Cr1,,,,
5.208415E-07,1,10,VoigtApparatus,3E-11,2E-10,Cr1,,,,
5.270811E-07,1,10,VoigtFWHM,4E-11,5E-10,Be2,,,,
5.506494E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
5.533031E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
5.570444E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
5.889950E-07,1,10,VoigtApparatus,3E-11,2E-10,Na1,,,,
5.895924E-07,1,10,VoigtApparatus,3E-11,2E-10,Na1,,,,
6.439073E-07,1,10,VoigtApparatus,3E-11,2E-10,Ca1,,,,
6.462566E-07,1,10,VoigtApparatus,3E-11,2E-10,Ca1,,,,
6.561000E-07,0,10,VoigtFWHM,2E-10,2.5E-09,D,,,,
6.562790E-07,1,10,VoigtFWHM,1.9E-10,2.5E-09,H,,,,
6.965431E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ar1,,,,
7.067218E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ar1,,,,
7.384410E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ar1,,,,
7.503869E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ar1,,,,
7.513864E-07,1,10,VoigtFWHM,3E-11,5.5E-10,_,,,,
7.515305E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ar1,,,,
7.594930E-07,1,10,VoigtFWHM,3E-11,5.5E-10,_,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
