Measured unit,Wavelength (m),Sensitivity,Additional multiplier,Additional additive
176,6.52963E-07,0.000420507,,
177,6.52973E-07,0.000420263,,
178,6.52982E-07,0.000420518,,
179,6.52992E-07,0.000421106,,
180,6.53001E-07,0.000421209,,
181,6.5301E-07,0.00042147,,
182,6.5302E-07,0.000421648,,
183,6.53029E-07,0.000421892,,
184,6.53039E-07,0.000422216,,
185,6.53048E-07,0.000422287,,
186,6.53058E-07,0.00042218,,
187,6.53067E-07,0.000421588,,
188,6.53076E-07,0.000420904,,
189,6.53086E-07,0.000420792,,
190,6.53095E-07,0.000420689,,
191,6.53105E-07,0.0004206,,
192,6.53114E-07,0.000420873,,
193,6.53124E-07,0.000420985,,
194,6.53133E-07,0.000421044,,
195,6.53143E-07,0.000421314,,
196,6.53152E-07,0.000421846,,
197,6.53161E-07,0.000422182,,
198,6.53171E-07,0.00042185,,
199,6.5318E-07,0.000421748,,
200,6.5319E-07,0.00042231,,
201,6.53199E-07,0.000422495,,
202,6.53209E-07,0.000422914,,
203,6.53218E-07,0.000423841,,
204,6.53227E-07,0.000424561,,
205,6.53237E-07,0.000424508,,
206,6.53246E-07,0.000424393,,
207,6.53256E-07,0.000425026,,
208,6.53265E-07,0.000425826,,
209,6.53275E-07,0.000425543,,
210,6.53284E-07,0.000425361,,
211,6.53293E-07,0.000425183,,
212,6.53303E-07,0.000424834,,
213,6.53312E-07,0.000424529,,
214,6.53322E-07,0.000424914,,
215,6.53331E-07,0.000425644,,
216,6.53341E-07,0.00042612,,
217,6.5335E-07,0.000426197,,
218,6.53359E-07,0.000427148,,
219,6.53369E-07,0.000427641,,
220,6.53378E-07,0.000427943,,
221,6.53388E-07,0.000428112,,
222,6.53397E-07,0.000428581,,
223,6.53407E-07,0.000428984,,
224,6.53416E-07,0.000429017,,
225,6.53426E-07,0.000429126,,
226,6.53435E-07,0.000428884,,
227,6.53444E-07,0.00042844,,
228,6.53454E-07,0.000427882,,
229,6.53463E-07,0.000427672,,
230,6.53473E-07,0.000427863,,
231,6.53482E-07,0.000428331,,
232,6.53492E-07,0.000428168,,
233,6.53501E-07,0.00042782,,
234,6.5351E-07,0.0004276,,
235,6.5352E-07,0.0004276,,
236,6.53529E-07,0.000427172,,
237,6.53539E-07,0.000427744,,
238,6.53548E-07,0.000428327,,
239,6.53558E-07,0.000427841,,
240,6.53567E-07,0.000427461,,
241,6.53576E-07,0.000427386,,
242,6.53586E-07,0.000427802,,
243,6.53595E-07,0.000427498,,
244,6.53605E-07,0.000427455,,
245,6.53614E-07,0.000427789,,
246,6.53624E-07,0.000427514,,
247,6.53633E-07,0.000426931,,
248,6.53643E-07,0.000426729,,
249,6.53652E-07,0.000426168,,
250,6.53661E-07,0.000426039,,
251,6.53671E-07,0.000425821,,
252,6.5368E-07,0.00042638,,
253,6.5369E-07,0.000426442,,
254,6.53699E-07,0.000426139,,
255,6.53709E-07,0.00042627,,
256,6.53718E-07,0.000426593,,
257,6.53727E-07,0.000427222,,
258,6.53737E-07,0.000428397,,
259,6.53746E-07,0.000428925,,
260,6.53756E-07,0.00042942,,
261,6.53765E-07,0.000429678,,
262,6.53775E-07,0.000430079,,
263,6.53784E-07,0.000431058,,
264,6.53793E-07,0.000431644,,
265,6.53803E-07,0.000431921,,
266,6.53812E-07,0.000432275,,
267,6.53822E-07,0.000432234,,
268,6.53831E-07,0.000432081,,
269,6.53841E-07,0.000432104,,
270,6.5385E-07,0.000431544,,
271,6.5386E-07,0.000431778,,
272,6.53869E-07,0.000431837,,
273,6.53878E-07,0.000431913,,
274,6.53888E-07,0.000431894,,
275,6.53897E-07,0.000431723,,
276,6.53907E-07,0.000431447,,
277,6.53916E-07,0.00043131,,
278,6.53926E-07,0.000431549,,
279,6.53935E-07,0.000431971,,
280,6.53944E-07,0.000431991,,
281,6.53954E-07,0.000431845,,
282,6.53963E-07,0.000431134,,
283,6.53973E-07,0.000430664,,
284,6.53982E-07,0.000430204,,
285,6.53992E-07,0.0004298,,
286,6.54001E-07,0.000429784,,
