Wavelength (m),Identificator,Function to fit,To fit (1/0),Fit priority (1 is first),Max position shift (m),Max line fwhm (m),Max influence radius (m),Linked variables
6.582975E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.585129E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.586048E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.587043E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.587762E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.590474E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.591735E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.591736E-07,,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,
6.593118E-07,,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,
6.593216E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.594160E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.594447E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.596007E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.597257E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.597330E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.598442E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.598616E-07,,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,
6.599858E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.600047E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.600439E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.601256E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.602238E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
