198.76451071;0.88538521
198.77151902;-54.94516176
198.77852695;25.95855443
198.78553452;15.21520269
198.79254171;22.89339543
198.79954853;17.53218052
198.80655498;-22.71562405
198.81356105;-49.23405001
198.82056676;38.28403142
198.82757209;19.29601007
198.83457705;5.59986756
198.84158164;-27.66048697
198.84858586;-23.13984082
198.85558970;17.86526930
198.86259318;-0.71592289
198.86959628;19.36374294
198.87659901;12.10437538
198.88360137;16.07386664
198.89060336;6.41275446
198.89760497;-6.85929817
198.90460621;-1.15354148
198.91160708;-26.76720943
198.91860758;35.59492939
198.92560771;-14.47170669
198.93260747;6.59292683
198.93960685;-1.59062543
198.94660586;-0.03271977
198.95360450;-17.00889760
198.96060277;-10.35795276
198.96760067;20.92623309
198.97459819;-9.76318616
198.98159535;-6.23724909
198.98859213;-18.99254279
198.99558854;-19.40112856
199.00258458;-18.38143955
199.00958024;-12.18688647
199.01657554;-13.28139450
199.02357046;22.80112574
199.03056501;12.98619060
199.03755919;-32.35738159
199.04455299;-15.10779195
199.05154643;19.15598830
199.05853949;15.59579039
199.06553218;35.88590154
199.07252450;-0.87266331
199.07951645;51.45096556
199.08650803;2.54231119
199.09349923;-20.58599511
199.10049006;12.32528689
199.10748052;-30.97770059
199.11447061;3.59923334
199.12146033;-34.38053286
199.12844967;-55.28780975
199.13543865;27.92671288
199.14242725;0.71545225
199.14941548;-41.67143281
199.15640334;7.62765831
199.16339082;34.86749849
199.17037794;13.40031324
199.17736468;26.26069005
199.18435105;0.65522227
199.19133705;4.67447732
199.19832267;62.68163568
199.20530793;12.68427246
199.21229281;8.54428622
199.21927732;4.62754956
199.22626146;-11.57378982
199.23324523;-8.03135158
199.24022863;28.59222040
199.24721165;15.44425147
199.25419430;8.98671608
199.26117659;4.57452378
199.26815849;-55.06136237
199.27514003;4.65225912
199.28212120;-35.42510531
199.28910199;-17.79781791
199.29608241;47.59154949
199.30306246;10.76246121
199.31004214;-14.78044766
199.31702145;14.65723398
199.32400038;0.95312615
199.33097894;5.82315268
199.33795713;13.27479830
199.34493495;11.70531243
199.35191240;-12.72880837
199.35888947;-1.72330789
199.36586618;46.39496748
199.37284251;19.58472651
199.37981847;-20.61104019
199.38679406;64.37812272
199.39376927;-14.97495492
199.40074412;-6.79254421
199.40771859;-19.57263912
199.41469269;-22.59366994
199.42166642;19.49590906
199.42863978;-2.28900628
199.43561276;-10.65236786
199.44258538;19.18963213
199.44955762;-16.60669054
199.45652949;-43.40242468
199.46350099;-44.05153055
199.47047211;30.97966646
199.47744287;9.50123667
199.48441325;19.89700196
199.49138326;42.33674921
199.49835290;17.80928022
199.50532217;-39.71510771
199.51229106;8.42581174
199.51925958;7.88315587
199.52622774;-40.55407235
199.53319552;34.19049314
199.54016292;19.02229941
199.54712996;-48.93413457
199.55409663;-31.98797552
199.56106292;-23.26488526
199.56802884;-51.91981784
199.57499439;19.31044469
199.58195956;22.52082709
199.58892437;-29.09513325
199.59588880;12.18585366
199.60285287;-16.80438773
199.60981656;-16.88553978
199.61677987;-34.29875573
