1	22	-18	-26	-21	-7	-11	
2	24	9	7	6	14	15	
3	14	-14	2	-22	-21	-27	
4	23	23	9	0	-3	3	
5	33	3	21	17	0	27	
6	25	-15	-6	-13	0	2	
7	37	19	19	-10	1	4	
8	44	38	0	31	26	14	
9	61	22	17	26	9	2	
10	18	0	12	9	-2	-17	
11	2	-5	-20	-30	-22	-1	
12	24	-4	-18	-4	-15	4	
13	47	20	-10	13	1	-5	
14	24	14	9	-2	8	20	
15	13	7	-5	-2	-1	-12	
16	19	8	4	11	-8	4	
17	21	-3	-16	-4	-20	-3	
18	26	10	5	-12	17	-9	
19	19	20	14	-17	-2	9	
20	47	7	7	16	12	4	
21	40	14	3	26	14	-6	
22	48	1	-3	17	1	6	
23	27	22	13	-2	-4	3	
24	31	3	8	19	4	10	
25	12	0	3	4	-11	-31	
26	-2	-14	-1	-17	-10	2	
27	-2	-6	-7	-16	-6	-10	
28	16	-6	0	-1	0	-10	
29	49	12	13	3	13	-1	
30	0	-4	-14	3	-29	-2	
31	33	28	11	17	16	28	
32	23	17	-3	8	11	0	
33	42	27	19	7	18	13	
34	15	1	-19	-9	-3	-17	
35	17	21	-8	3	11	-19	
36	41	3	15	2	7	-1	
37	19	-21	12	-2	6	-7	
38	23	13	4	7	5	12	
39	4	-6	16	-8	9	10	
40	30	32	14	-5	2	-2	
41	24	-4	-2	-15	-1	-12	
42	48	14	28	21	3	-8	
43	20	1	6	-3	1	5	
44	-1	-18	1	-7	-21	-9	
45	41	12	8	0	-1	4	
46	27	12	0	-13	-10	5	
47	57	17	23	-5	0	4	
48	41	7	5	-18	18	-8	
49	14	17	5	33	11	2	
50	22	2	-7	-9	-3	-7	
51	5	-4	-12	-23	-12	0	
52	31	14	31	19	15	11	
53	23	17	12	14	13	-6	
54	12	-7	1	-6	-36	-12	
55	20	25	11	-10	11	-1	
56	29	-3	4	11	-11	-7	
57	31	-19	4	-1	2	-4	
58	8	29	-5	21	25	37	
59	21	10	1	31	1	-5	
60	35	1	24	19	-5	6	
61	33	10	-19	2	-10	-6	
62	16	13	22	-5	-1	-12	
63	31	12	14	12	41	5	
64	37	-14	3	10	-5	1	
65	20	-1	-15	-13	-12	-27	
66	14	-1	-18	-13	-10	4	
67	2	-1	4	-8	-4	0	
68	15	8	15	22	7	6	
69	23	4	1	12	5	4	
70	-10	-4	3	-5	7	-19	
71	30	9	30	22	23	11	
